color1	color2	Lot_Name	Species	LOT	MOM	seed_zone 	elevation_cat	elevation_band	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	Height_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Tissue_collected	Height_21	BD_21	alive_needles_21	num_needles
brown	blue	PILA60_8	PILA	5907	19192	532	-99	6000	1805	1	2019	-99	-99	-99	-99	-99	-99	12	6.4	80	3	22	7.5	100	5
brown	blue	PILA60_8	PILA	5907	19192	532	-99	6000	1856	0	2019	-99	-99	-99	-99	-99	-99	12.2	4.3	60	0	-99	-99	-99	-99
brown	blue	PILA60_8	PILA	5907	19192	532	-99	6000	3732	0	2019	-99	-99	-99	-99	-99	-99	18	5.4	80	3	-99	-99	-99	-99
brown	clear	PILA60_9	PILA	5890	19153	532	-99	6000	1502	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
brown	clear	PILA60_9	PILA	5890	19153	532	-99	6000	3379	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
brown	clear	PILA60_9	PILA	5890	19153	532	-99	6000	3365	0	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	16.6	7	100	5
brown	clear	PILA60_9	PILA	5890	19153	532	-99	6000	1942	0	2019	-99	-99	-99	-99	-99	-99	12	5.5	80	3	20.4	6.6	100	5
brown	clear	PILA60_9	PILA	5890	19153	532	-99	6000	3363	0	2019	-99	-99	-99	-99	-99	-99	20	4.8	100	3	27	6	100	5
brown	clear	PILA60_9	PILA	5890	19153	532	-99	6000	3762	0	2019	-99	-99	-99	-99	-99	-99	15	3.4	20	0	19.8	3.6	100	5
brown	green	PILA60_10	PILA	7535	19195	532	-99	6000	1886	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
brown	green	PILA60_10	PILA	7535	19195	532	-99	6000	1901	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
brown	green	PILA60_10	PILA	7535	19195	532	-99	6000	3160	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
brown	green	PILA60_10	PILA	7535	19195	532	-99	6000	3748	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
brown	green	PILA60_10	PILA	7535	19195	532	-99	6000	3553	1	2019	2021	-99	-99	-99	-99	-99	18	4.4	100	3	12.8	4.3	0	5
brown	green	PILA60_10	PILA	7535	19195	532	-99	6000	3385	0	2019	-99	-99	-99	-99	-99	-99	17	4.7	100	3	27	9.5	100	5
brown	pink	PILA60_11	PILA	5906	19188	532	-99	6000	1345	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
brown	pink	PILA60_11	PILA	5906	19188	532	-99	6000	1354	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
brown	pink	PILA60_11	PILA	5906	19188	532	-99	6000	3248	0	2019	-99	-99	-99	-99	-99	-99	24	8	80	3	-99	-99	-99	-99
brown	red	PILA60_12	PILA	7533	19193	532	-99	6000	1167	0	2019	2020	-99	-99	15	3.62	-99	-99	-99	0	-99	-99	-99	-99	-99
brown	red	PILA60_12	PILA	7533	19193	532	-99	6000	3472	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
brown	red	PILA60_12	PILA	7533	19193	532	-99	6000	1182	0	2019	2021	-99	-99	-99	-99	-99	21	6.8	100	3	29	8.1	0	3
brown	red	PILA60_12	PILA	7533	19193	532	-99	6000	3157	0	2019	-99	-99	-99	-99	-99	-99	15	8.2	100	3	21.2	5.6	100	5
brown	red	PILA60_12	PILA	7533	19193	532	-99	6000	3523	0	2019	-99	-99	-99	-99	-99	-99	15	5.2	100	3	39.4	7.4	100	5
brown	red	PILA60_12	PILA	7533	19193	532	-99	6000	3725	1	2019	-99	-99	-99	-99	-99	-99	14.5	4.4	70	3	21	4.8	100	3
brown	yellow	PILA60_13	PILA	5908	19194	532	-99	6000	1340	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
brown	yellow	PILA60_13	PILA	5908	19194	532	-99	6000	3419	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
brown	yellow	PILA60_13	PILA	5908	19194	532	-99	6000	1390	0	2019	-99	-99	-99	-99	-99	-99	25	6.1	100	3	33.8	11	100	5
brown	yellow	PILA60_13	PILA	5908	19194	532	-99	6000	3335	0	2019	-99	-99	-99	-99	-99	-99	21	7.2	100	3	-99	-99	-99	-99
brown	yellow	PILA60_13	PILA	5908	19194	532	-99	6000	3373	0	2019	-99	-99	-99	-99	-99	-99	15	6.1	100	2	-99	-99	-99	-99
brown	yellow	PILA60_13	PILA	5908	19194	532	-99	6000	3391	0	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	19.4	6.7	100	5
brown	yellow	PILA60_13	PILA	5908	19194	532	-99	6000	3468	0	2019	-99	-99	-99	-99	-99	-99	10	4.5	100	3	20.2	6.1	100	5
brown	yellow	PILA60_13	PILA	5908	19194	532	-99	6000	3550	0	2019	-99	-99	-99	-99	-99	-99	16	5.7	100	3	22.9	8.3	75	5
clear	blue	PILA60_14	PILA	6146	19312	531	-99	6000	3728	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
clear	blue	PILA60_14	PILA	6146	19312	531	-99	6000	3955	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
clear	blue	PILA60_14	PILA	6146	19312	531	-99	6000	1198	0	2019	2021	-99	-99	-99	-99	-99	-99	-99	-99	-99	20.4	8.9	0	5
clear	blue	PILA60_14	PILA	6146	19312	531	-99	6000	1549	0	2019	-99	-99	-99	-99	-99	-99	29.1	6.7	100	3	44.6	11	100	5
clear	blue	PILA60_14	PILA	6146	19312	531	-99	6000	3032	0	2019	-99	-99	-99	-99	-99	-99	17	6.6	100	2	26	3.9	100	5
clear	brown	PILA60_15	PILA	5662	19419	531	-99	6000	1376	0	2019	-99	-99	-99	-99	-99	-99	15	5.2	100	3	24.8	5.9	100	5
clear	brown	PILA60_15	PILA	5662	19419	531	-99	6000	3736	0	2019	-99	-99	-99	-99	-99	-99	7	4.2	20	0	13	3.7	5	5
clear	brown/clear	PILA60_16	PILA	8222	19272	533	-99	6000	1380	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
clear	brown/clear	PILA60_16	PILA	8222	19272	533	-99	6000	3237	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
clear	brown/clear	PILA60_16	PILA	8222	19272	533	-99	6000	3256	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	brown/clear	PILA60_16	PILA	8222	19272	533	-99	6000	1648	0	2019	-99	-99	-99	-99	-99	-99	26	7.3	100	3	20.2	8.6	50	5
clear	brown/clear	PILA60_16	PILA	8222	19272	533	-99	6000	3159	0	2019	-99	-99	-99	-99	-99	-99	18	6.8	100	5	32.4	8.7	100	5
clear	brown/clear	PILA60_16	PILA	8222	19272	533	-99	6000	3743	1	2019	-99	-99	-99	-99	-99	-99	20	5.1	100	3	29.2	7.4	100	5
clear	clear/brown	PILA60_16	PILA	8222	19272	533	-99	6000	3776	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	clear/brown	PILA60_16	PILA	8222	19272	533	-99	6000	1175	0	2019	-99	-99	-99	-99	-99	-99	20	6.6	100	2	32.6	10.1	100	5
clear	clear/brown	PILA60_16	PILA	8222	19272	533	-99	6000	1178	0	2019	-99	-99	-99	-99	-99	-99	17.5	6.5	90	3	30.2	13.3	100	5
clear	clear/pink	PILA60_17	PILA	6144	19310	531	-99	6000	1522	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	clear/pink	PILA60_17	PILA	6144	19310	531	-99	6000	3943	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	clear/pink	PILA60_17	PILA	6144	19310	531	-99	6000	3431	1	2019	2021	-99	-99	-99	-99	-99	18	5.8	100	3	-99	-99	-99	-99
clear	clear/purple	PILA60_18	PILA	5757	19279	533	-99	6000	1979	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	clear/purple	PILA60_18	PILA	5757	19279	533	-99	6000	3012	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear	clear/purple	PILA60_18	PILA	5757	19279	533	-99	6000	3295	0	2019	2019	-99	-99	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99
