Ziptie	Lot_Name	Species	seed_zone	elevation_cat	elevation_band	lot	tree_num	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	BD_17	%_alive_needles_17	Height_18	BD_18	%_alive_needles_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Needles?	Height_21	BD_21	alive_needles_21	num_needles
DkBlue	PILA60_2	PILA	532	-99	6000	-99	38	-99	0	2017	2018	18.5	3	25	17	4.41	50	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	9	-99	0	2017	2019	8	2.2	-99	15	5.5	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	31	323	0	2017	2020	13	3.9	100	17	5.54	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	7	481	0	2017	2020	12	3.6	75	16	5.64	100	13.5	6.6	100	-99	-99	-99	0	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	4	536	0	2017	2020	12	3.5	-99	18	4.5	100	23.5	8.08	50	-99	-99	-99	0	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	8	482	0	2017	2020	9	3.5	-99	-99	-99	-99	14.5	6.37	100	-99	-99	-99	0	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	20	650	0	2017	2020	15	3.2	75	17	4.08	100	17.5	5.45	100	-99	-99	-99	0	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	17	782	0	2017	2020	9.5	3.2	75	13	4.78	75	14.5	4.8	100	-99	-99	-99	0	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	16	793	0	2017	2020	22	4.8	-99	14	5.62	100	27	11.9	100	-99	-99	-99	0	-99	-99	-99	-99
DkBlue	PILA60_2	PILA	532	-99	6000	-99	37	855	0	2017	2020	21	4	75	21	4.8	75	15	4.22	100	-99	-99	-99	0	-99	-99	-99	-99
