TAG_COLOR	Lot_Name	Species	lot	MOM	seed_zone	elevation_cat	elevation_band	tree_num	metal_tag	Genotype	Plant_Yr	Mort_Yr	Height_17	Height_18	BD_18	%_alive_needles_18	Height_19	BD_19	%_alive_needles_19	Height_20	BD_20	%_alive_needles_20	Tissue_collected	Height_21	BD_21	alive_needles_21	num_needles
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	5	292	0	2018	-99	-99	11	2.83	100	10	4.32	100	-99	-99	-99	-99	15	8.8	75	3
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	2	281	0	2018	-99	-99	12	4.5	100	23	7.68	100	39.8	12	100	3	54.2	20.4	100	5
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	3	2228	0	2018	-99	-99	21	5.18	100	15	4.34	100	19	7.9	90	2	37.2	12.9	100	5
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	8	2840	0	2018	-99	-99	14	3.14	100	19	5.41	100	-99	-99	-99	-99	48.6	13.5	100	5
clear/black 	PILA50_1	PILA	5942	19531	526	-99	5000	9	2778	0	2018	-99	-99	10	2.76	100	15	5.4	100	27.7	8	100	3	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	6	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	8	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	10	-99	0	2018	2018	-99	7	1.73	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	14	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	15	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	16	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	17	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	18	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	19	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	20	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	2	-99	0	2018	2019	-99	12	4.01	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	3	-99	0	2018	2019	-99	18	3.97	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	7	2246	0	2018	2020	-99	12	2.33	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	13	2039/2930	0	2018	2020	-99	18	3.29	100	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	5	1569	0	2018	2021	-99	16	3.27	100	12	5.09	100	-99	-99	-99	-99	-99	-99	-99	-99
clear/clear 	PILA50_2	PILA	5942	19531	526	-99	5000	-99	2039	0	2018	2021	-99	-99	-99	-99	22	7.28	100	39	9.4	100	3	44	11.1	0	5
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	11	1019	0	2018	2021	-99	12	3.72	100	15	5.32	100	23	9.1	95	2	25.2	8.2	0	5
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	9	2327	0	2018	2021	-99	12	2.56	100	-99	-99	-99	24	6.1	100	2	25	6.7	0	5
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	4	296	0	2018	-99	-99	14	3.36	100	24	6.52	100	34.9	10.3	100	3	48.4	16.5	100	5
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	1	974	0	2018	-99	-99	20	3.86	100	19.5	10.93	100	41.5	8.6	85	3	53.4	25.1	100	5
clear/clear 	PILA50_2	PILA	6679	19534	526	-99	5000	12	2980	1	2018	-99	-99	17	3.34	100	13.5	4.61	100	18	6.5	90	2	-99	-99	-99	-99
clear/red	PILA50_3	PILA	6042	19523	526	-99	5000	6	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/red	PILA50_3	PILA	6042	19523	526	-99	5000	13	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/red	PILA50_3	PILA	6042	19523	526	-99	5000	1	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/red	PILA50_3	PILA	6042	19523	526	-99	5000	14	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/red	PILA50_3	PILA	6042	19523	526	-99	5000	15	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/red	PILA50_3	PILA	6042	19523	526	-99	5000	16	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
clear/red	PILA50_3	PILA	6042	19523	526	-99	5000	17	-99	0	2018	2018	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
